날짜,평균강수량,최대강수량,평균기온,최고기온,최저기온,평균습도,최저습도,평균풍속,최대풍속,대파거래량,대파생산량,대파저장이월량,대파수입량,대파수입금액,대파재배면적,고급휘발유,보통휘발유,자동차용경유,소비자물가지수,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가,대파가격
2018-01-09,1.4,11.5,-1.3,1.5,-3.4,65,24,3.7,22.2,425.38,343869,0,13128,82618,12115,1856.27,1547.8,1340.26,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1512.31566
2018-01-10,2.2,16,-4.5,-0.7,-8.1,63,15,3,24.9,417.26,343869,0,13128,82618,12115,1856.82,1548.16,1340.81,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1498.567858
2018-01-11,0.8,21.3,-8.2,-4.3,-11.3,59,18,2.7,24.5,386.89,343869,0,13128,82618,12115,1856.75,1548.67,1341.37,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1506.884008
2018-01-12,0,6.7,-8.5,-3.7,-13.4,54,12,2.2,18.3,350.12,343869,0,13128,82618,12115,1857.72,1549.23,1341.98,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1445.919169
2018-01-13,0.1,6.5,-3.1,3.1,-8.8,69,24,1.3,11.8,394.13,343869,0,13128,82618,12115,1858.03,1549.76,1342.49,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1468.933786
2018-01-15,0,1.4,4.4,10.8,-0.9,70,13,1.5,12.2,554.71,343869,0,13128,82618,12115,1858.61,1550.69,1343.6,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1421.281861
2018-01-16,7,40.9,3.8,8.2,-0.8,80,18,1.1,10.8,515.37,343869,0,13128,82618,12115,1859.43,1551.58,1344.49,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1347.533097
2018-01-17,5,12.3,4.3,7.8,1.7,87,43,1.4,14.1,532.51,343869,0,13128,82618,12115,1860.38,1552.16,1345.19,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1355.72833
2018-01-18,0,0.3,3.7,7.8,0.1,70,16,1.8,12.3,505.66,343869,0,13128,82618,12115,1861.71,1552.73,1345.96,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1362.711748
2018-01-19,0,0,1.3,7.3,-3,55,6,1.5,9.2,466.18,343869,0,13128,82618,12115,1861.68,1553.32,1346.66,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1444.973862
2018-01-20,0,0,1.2,7.7,-4.1,64,21,1.4,9.3,558.57,343869,0,13128,82618,12115,1862.64,1553.92,1347.17,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1370.233597
2018-01-22,1.2,5.8,2.9,7.6,-0.6,63,25,1.9,18.9,598.96,343869,0,13128,82618,12115,1862.46,1554.73,1348.26,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1302.650699
2018-01-23,0,1.8,-6.4,0.7,-10,46,11,4,16.5,461.48,343869,0,13128,82618,12115,1862.29,1555.27,1348.97,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1238.875699
2018-01-24,0,8.4,-10.4,-6.5,-13.4,38,12,3.5,15.9,427.81,343869,0,13128,82618,12115,1863.61,1555.85,1349.88,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7,1222.880551
